,Word,Times,Negative,Neutral,Positive,Compound,Classify,Value
358,majority,1385,0.0,1.0,0.0,0.0,Neutral,0.0
359,intelligence,1384,0.0,0.0,1.0,0.4767,Positive,1.0
360,body,1384,0.0,1.0,0.0,0.0,Neutral,0.0
361,hear,1382,0.0,1.0,0.0,0.0,Neutral,0.0
362,half,1376,0.0,1.0,0.0,0.0,Neutral,0.0
363,forward,1374,0.0,1.0,0.0,0.0,Neutral,0.0
364,response,1365,0.0,1.0,0.0,0.0,Neutral,0.0
365,coverage,1350,0.0,1.0,0.0,0.0,Neutral,0.0
366,art,1348,0.0,1.0,0.0,0.0,Neutral,0.0
367,detail,1347,0.0,1.0,0.0,0.0,Neutral,0.0
368,hope,1347,0.0,0.0,1.0,0.4404,Positive,1.0
369,saturday,1338,0.0,1.0,0.0,0.0,Neutral,0.0
370,agreement,1333,0.0,0.0,1.0,0.4939,Positive,1.0
371,vice,1332,0.0,1.0,0.0,0.0,Neutral,0.0
372,age,1330,0.0,1.0,0.0,0.0,Neutral,0.0
373,decide,1328,0.0,1.0,0.0,0.0,Neutral,0.0
374,review,1325,0.0,1.0,0.0,0.0,Neutral,0.0
375,impact,1321,0.0,1.0,0.0,0.0,Neutral,0.0
376,measure,1319,0.0,1.0,0.0,0.0,Neutral,0.0
377,consumer,1318,0.0,1.0,0.0,0.0,Neutral,0.0
378,opportunity,1316,0.0,0.0,1.0,0.4215,Positive,1.0
379,ban,1300,1.0,0.0,0.0,-0.5574,Negative,-1.0
380,staff,1299,0.0,1.0,0.0,0.0,Neutral,0.0
381,warn,1297,1.0,0.0,0.0,-0.1027,Negative,-1.0
382,iran,1295,0.0,1.0,0.0,0.0,Neutral,0.0
383,ahead,1288,0.0,1.0,0.0,0.0,Neutral,0.0
384,capital,1284,0.0,1.0,0.0,0.0,Neutral,0.0
385,protect,1282,0.0,0.0,1.0,0.3818,Positive,1.0
386,reform,1280,0.0,1.0,0.0,0.0,Neutral,0.0
387,april,1279,0.0,1.0,0.0,0.0,Neutral,0.0
388,involve,1278,0.0,1.0,0.0,0.0,Neutral,0.0
389,message,1278,0.0,1.0,0.0,0.0,Neutral,0.0
390,revenue,1274,0.0,1.0,0.0,0.0,Neutral,0.0
391,impeachment,1274,0.0,1.0,0.0,0.0,Neutral,0.0
392,confirm,1269,0.0,1.0,0.0,0.0,Neutral,0.0
393,college,1266,0.0,1.0,0.0,0.0,Neutral,0.0
394,phone,1260,0.0,1.0,0.0,0.0,Neutral,0.0
395,email,1259,0.0,1.0,0.0,0.0,Neutral,0.0
396,crisis,1248,1.0,0.0,0.0,-0.6249,Negative,-1.0
397,threat,1248,1.0,0.0,0.0,-0.5267,Negative,-1.0
398,trial,1245,0.0,1.0,0.0,0.0,Neutral,0.0
399,loss,1245,1.0,0.0,0.0,-0.3182,Negative,-1.0
400,host,1242,0.0,1.0,0.0,0.0,Neutral,0.0
401,argue,1238,1.0,0.0,0.0,-0.34,Negative,-1.0
402,county,1237,0.0,1.0,0.0,0.0,Neutral,0.0
403,player,1236,0.0,1.0,0.0,0.0,Neutral,0.0
404,kid,1236,0.0,1.0,0.0,0.0,Neutral,0.0
405,fear,1231,1.0,0.0,0.0,-0.4939,Negative,-1.0
406,launch,1231,0.0,1.0,0.0,0.0,Neutral,0.0
407,store,1230,0.0,1.0,0.0,0.0,Neutral,0.0
408,fail,1229,1.0,0.0,0.0,-0.5423,Negative,-1.0
409,dr,1208,0.0,1.0,0.0,0.0,Neutral,0.0
410,david,1207,0.0,1.0,0.0,0.0,Neutral,0.0
411,west,1207,0.0,1.0,0.0,0.0,Neutral,0.0
412,express,1207,0.0,1.0,0.0,0.0,Neutral,0.0
413,average,1206,0.0,1.0,0.0,0.0,Neutral,0.0
414,short,1203,0.0,1.0,0.0,0.0,Neutral,0.0
